txn_id,client_id,amount,currency,txn_ts,category
133,136,2202.85,EUR,2025-02-09 03:19:07,Deposits
134,323,4782.75,EUR,2025-03-23 17:02:38,Deposits
135,417,8746.31,EUR,2025-01-17 19:11:03,ATM
136,221,5005.36,EUR,2025-03-25 04:14:45,Fees
137,341,563.37,USD,2025-01-15 06:09:11,Fees
138,112,408.46,RUB,2025-02-17 02:52:21,Deposits
139,238,2281.64,EUR,2025-01-07 06:40:56,Deposits
140,274,8429.29,USD,2025-04-04 20:34:06,Payments
141,493,6218.59,USD,2025-03-07 12:34:39,Fees
142,185,5633.95,RUB,2025-01-08 21:47:23,Transfers
143,210,3196.51,EUR,2025-03-23 19:20:04,Deposits
144,263,9294.96,EUR,2025-02-07 10:29:21,Refunds
145,497,3318.47,EUR,2025-04-13 10:34:38,Fees
146,441,8351.09,RUB,2025-03-22 16:22:14,Deposits
147,113,8960.08,EUR,2025-02-15 10:59:57,Deposits
148,193,4838.52,USD,2025-01-14 00:36:35,Transfers
149,428,8943.95,RUB,2025-03-04 07:55:02,ATM
150,123,2775.26,USD,2025-02-02 04:04:33,Payments
151,442,6587.75,USD,2025-02-28 12:33:15,Refunds
152,212,888.76,USD,2025-03-17 01:41:56,Refunds
153,467,4744.6,RUB,2025-03-10 19:41:39,Transfers
154,217,2181.14,USD,2025-03-19 10:52:08,Transfers
155,273,637.01,EUR,2025-04-17 20:50:42,ATM
156,364,47.22,EUR,2025-03-29 23:46:26,ATM
157,150,3254.27,EUR,2025-01-13 19:08:40,ATM
158,322,5899.41,USD,2025-01-12 18:53:41,Payments
159,302,4557.75,EUR,2025-01-25 04:27:48,Fees
160,413,3024.68,RUB,2025-05-01 01:15:10,Payments
161,498,9912.09,EUR,2025-04-10 06:38:13,Deposits
162,365,9395.86,USD,2025-04-25 06:39:17,Fees
163,263,1265.28,USD,2025-04-12 18:19:12,Refunds
164,262,4156.92,USD,2025-04-16 12:26:33,ATM
165,267,6491.98,EUR,2025-01-06 11:02:06,Payments
166,425,7337.57,RUB,2025-01-17 18:11:23,Fees
167,228,3670.06,USD,2025-02-07 08:48:11,Payments
168,166,7465.36,EUR,2025-01-03 23:29:15,Transfers
169,233,1250.26,USD,2025-04-17 05:50:45,Payments
170,109,3324.81,RUB,2025-04-16 21:08:35,Refunds
171,142,7167.17,USD,2025-02-18 20:51:15,Deposits
172,136,6260.57,EUR,2025-03-06 11:57:54,ATM
173,408,8373.73,EUR,2025-01-16 04:51:56,Fees
174,388,478.1,RUB,2025-02-26 20:52:32,Refunds
175,378,1752.17,USD,2025-01-28 16:07:46,Refunds
176,284,494.46,EUR,2025-03-18 04:26:55,Payments
177,386,1929.22,RUB,2025-04-20 17:41:49,Deposits
178,164,52.79,RUB,2025-04-17 16:58:17,Deposits
179,460,5047.06,RUB,2025-03-26 14:54:17,Fees
180,300,5287.86,USD,2025-04-26 10:21:02,Deposits
181,475,6582.34,USD,2025-04-03 14:15:46,Transfers
182,160,3855.28,RUB,2025-03-18 06:35:51,Fees
183,298,42.04,RUB,2025-04-07 19:36:46,Deposits
184,378,6742.17,USD,2025-04-30 05:41:03,Fees
185,298,552.37,EUR,2025-03-10 17:53:24,Deposits
186,278,8663.04,RUB,2025-01-12 05:00:34,Deposits
187,166,236.31,USD,2025-02-10 01:05:27,Payments
188,252,5309.45,EUR,2025-01-18 22:02:11,Payments
189,195,8950.23,USD,2025-03-27 22:12:34,Payments
190,220,5729.17,USD,2025-01-23 14:29:46,Transfers
191,373,6088.08,RUB,2025-01-13 21:01:01,Deposits
192,352,6819.29,EUR,2025-01-23 04:53:37,Payments
193,342,1232.86,EUR,2025-01-17 07:34:07,Payments
194,244,6752.52,EUR,2025-03-31 04:51:41,Refunds
195,483,8804.75,EUR,2025-01-31 07:02:42,Refunds
196,135,9742.47,USD,2025-02-11 00:53:23,Transfers
197,237,4436.09,USD,2025-01-05 12:32:38,Refunds
198,147,3451.6,EUR,2025-03-14 00:58:14,Payments
199,235,7535.56,RUB,2025-02-15 01:20:13,Payments
200,484,5433.31,RUB,2025-02-22 08:06:32,Deposits
201,246,2580.47,RUB,2025-02-09 08:02:41,Transfers
202,463,1729.86,USD,2025-03-01 08:38:53,Payments
203,298,1710.6,RUB,2025-03-13 17:44:43,Refunds
204,379,4597.18,USD,2025-04-14 01:34:27,Refunds
205,282,1709.54,USD,2025-03-02 03:37:09,Transfers
206,206,206.99,EUR,2025-01-21 15:11:37,Transfers
207,405,530.37,USD,2025-03-28 07:11:21,Fees
208,487,9299.55,RUB,2025-01-30 03:28:40,Refunds
209,205,738.88,EUR,2025-03-04 07:14:41,Transfers
210,411,741.08,USD,2025-02-23 20:24:50,Fees
211,204,4517.37,RUB,2025-02-16 03:17:36,Payments
212,386,2458.55,USD,2025-02-13 14:04:37,ATM
213,415,9627.31,RUB,2025-01-03 05:35:29,Refunds
214,279,9110.75,USD,2025-01-17 23:17:56,Deposits
215,394,4053.39,EUR,2025-05-02 21:50:45,ATM
216,208,4492.83,RUB,2025-04-11 04:02:51,Fees
217,131,3757.39,EUR,2025-04-25 12:00:05,ATM
218,138,388.28,USD,2025-02-21 14:41:50,Fees
219,278,2935.54,EUR,2025-05-01 00:22:10,Refunds
220,461,1235.51,EUR,2025-02-18 02:28:53,Payments
221,151,1032.68,EUR,2025-05-02 23:11:06,Refunds
222,282,5613.01,RUB,2025-01-08 08:19:32,Refunds
223,381,996.66,EUR,2025-02-24 15:27:04,Refunds
224,180,1038.28,USD,2025-03-28 01:13:05,Deposits
225,388,4810.33,EUR,2025-01-06 17:55:48,ATM
226,222,4428.4,EUR,2025-02-01 02:49:38,Deposits
227,423,1384.97,USD,2025-03-15 12:17:11,Refunds
228,331,54.45,EUR,2025-04-11 03:51:42,Deposits
229,318,1937.81,USD,2025-03-14 06:45:18,Transfers
230,170,2366.56,RUB,2025-03-25 02:34:46,Fees
231,285,8004.48,EUR,2025-04-13 08:54:05,Payments
232,442,9155.23,USD,2025-05-01 12:34:32,Deposits
233,107,4065.38,RUB,2025-04-02 09:52:32,Transfers
234,403,4056.22,RUB,2025-02-01 01:07:07,Deposits
235,297,7127.69,EUR,2025-01-26 22:25:57,Deposits
236,387,6272.95,EUR,2025-05-04 12:53:26,Payments
237,365,1849.56,EUR,2025-03-28 16:07:24,Refunds
238,272,1085.81,USD,2025-03-11 01:25:22,Deposits
239,223,4381.74,RUB,2025-03-27 04:52:25,Deposits
240,350,5652.64,USD,2025-04-16 12:42:59,Payments
241,156,1395.69,RUB,2025-03-24 14:36:12,Refunds
242,333,2939.8,RUB,2025-04-15 10:50:26,Refunds
243,137,3066.37,RUB,2025-01-02 11:59:29,Deposits
244,359,2620.37,USD,2025-02-01 12:42:44,Deposits
245,351,4613.01,RUB,2025-04-09 13:30:44,Deposits
246,133,6534.11,RUB,2025-01-09 06:43:58,Refunds
247,402,5098.8,RUB,2025-04-15 06:11:13,Transfers
248,266,2022.55,EUR,2025-01-09 11:02:34,Fees
249,414,1038.36,USD,2025-04-09 06:56:49,Refunds
250,116,8220.49,USD,2025-01-15 02:08:44,Fees
251,171,4798.25,USD,2025-03-25 22:05:09,Refunds
252,297,630.77,USD,2025-02-03 08:51:04,Refunds
253,175,2588.63,USD,2025-03-07 22:32:31,Payments
254,231,8042.3,EUR,2025-01-06 09:11:16,Transfers
255,364,7519.75,EUR,2025-02-04 03:27:58,Payments
256,157,8759.41,RUB,2025-02-11 19:13:28,ATM
257,371,6024.86,EUR,2025-02-09 05:03:49,Deposits
258,141,4234.83,RUB,2025-02-14 10:39:30,Payments
259,170,4272.08,RUB,2025-02-03 16:43:57,ATM
260,335,1948.06,USD,2025-02-09 12:15:55,Payments
261,417,6511.48,USD,2025-03-18 17:20:33,Deposits
262,168,5854.84,EUR,2025-02-27 18:26:11,Deposits
263,219,1557.1,EUR,2025-03-02 13:14:45,Refunds
264,470,8857.77,RUB,2025-01-11 15:52:16,Fees
265,495,3691.0,USD,2025-01-31 15:27:15,ATM
266,332,506.89,EUR,2025-01-23 16:21:34,Fees
267,278,3285.53,EUR,2025-04-04 01:57:01,Transfers
268,238,8699.87,USD,2025-04-03 19:32:06,Transfers
269,344,9170.4,USD,2025-02-20 13:31:00,Fees
270,336,4909.08,USD,2025-02-04 09:03:30,Fees
271,217,9563.84,RUB,2025-02-13 06:05:40,Payments
272,109,8753.67,USD,2025-04-09 11:51:04,Transfers
273,160,8254.05,EUR,2025-03-26 12:24:12,Transfers
274,483,8598.5,RUB,2025-04-28 02:56:26,Payments
275,267,3824.94,EUR,2025-03-24 01:17:15,ATM
276,292,7567.12,RUB,2025-03-17 11:36:40,Payments
277,286,5777.62,RUB,2025-04-25 14:22:42,Refunds
278,413,7199.64,EUR,2025-01-01 06:26:43,ATM
279,125,1786.08,USD,2025-04-02 17:20:52,Fees
280,133,7316.63,USD,2025-04-04 17:35:09,Deposits
281,210,9576.35,USD,2025-01-28 19:03:32,Refunds
282,294,3033.61,USD,2025-01-18 22:47:26,Transfers
283,368,9861.75,USD,2025-04-22 17:41:51,ATM
284,296,3789.98,EUR,2025-02-22 11:35:25,Payments
285,276,2005.24,USD,2025-01-21 05:08:26,Fees
286,475,1131.74,RUB,2025-01-19 23:54:54,ATM
287,164,7851.77,RUB,2025-04-07 02:50:38,Transfers
288,328,5552.71,USD,2025-04-16 08:07:38,Fees
289,316,3078.24,USD,2025-05-03 23:47:22,Refunds
290,289,6088.42,USD,2025-03-18 20:15:53,Payments
291,423,3327.69,RUB,2025-03-19 01:07:01,Refunds
292,206,4489.09,RUB,2025-04-06 01:33:40,Fees
293,481,8628.01,RUB,2025-02-13 22:40:29,Deposits
294,232,6684.98,EUR,2025-04-03 13:54:05,ATM
295,318,7626.39,USD,2025-01-10 07:51:04,Fees
296,308,5839.1,EUR,2025-01-01 03:32:23,Deposits
297,439,9914.07,USD,2025-03-12 17:09:46,ATM
298,275,2421.69,RUB,2025-03-09 02:40:00,Payments
299,213,2630.29,USD,2025-05-01 12:03:36,Refunds
300,108,934.66,EUR,2025-04-17 06:27:53,Refunds
301,245,5544.65,USD,2025-04-05 11:41:55,Transfers
302,430,6137.46,RUB,2025-03-17 16:20:47,Deposits
303,103,7262.36,RUB,2025-01-06 00:24:46,Transfers
304,458,3361.1,EUR,2025-02-23 16:11:05,Deposits
305,317,132.45,RUB,2025-03-14 00:14:39,Transfers
306,156,6325.97,EUR,2025-01-23 18:27:18,Refunds
307,220,9986.97,EUR,2025-02-21 14:03:53,Fees
308,321,2952.55,RUB,2025-05-04 02:00:46,Refunds
309,226,1847.51,USD,2025-04-21 10:05:56,Fees
310,143,2824.85,USD,2025-03-12 13:35:36,Fees
311,366,4259.9,EUR,2025-03-28 21:39:20,Payments
312,368,2516.62,EUR,2025-04-25 13:36:36,Fees
313,147,3476.13,RUB,2025-04-15 06:09:31,Fees
314,212,6385.69,RUB,2025-03-20 14:53:53,Payments
315,197,3456.83,EUR,2025-02-21 23:15:24,Payments
316,363,3966.63,USD,2025-01-29 00:41:31,Fees
317,392,409.91,RUB,2025-04-06 21:18:04,Deposits
318,390,9180.25,USD,2025-03-12 11:23:26,Transfers
319,475,4074.79,RUB,2025-03-19 08:12:10,Deposits
320,407,3288.15,RUB,2025-01-17 22:42:17,Refunds
321,228,873.98,EUR,2025-05-04 02:03:39,Deposits
322,143,6345.49,RUB,2025-02-14 08:34:55,Deposits
323,345,8639.61,EUR,2025-03-31 02:41:19,Deposits
324,466,421.12,RUB,2025-01-31 19:04:17,Payments
325,490,1461.27,RUB,2025-02-11 01:39:12,Payments
326,192,1472.43,EUR,2025-03-02 14:04:54,Deposits
327,194,6026.73,RUB,2025-04-27 19:59:52,Payments
328,114,9213.09,USD,2025-01-13 21:46:06,Fees
329,156,4383.31,USD,2025-02-18 21:24:17,Deposits
330,321,3444.63,USD,2025-03-29 04:55:51,ATM
331,318,7660.75,USD,2025-01-09 04:22:57,Deposits
332,248,7428.26,RUB,2025-03-01 13:13:33,Fees
333,223,2475.09,RUB,2025-01-23 21:51:13,Deposits
334,431,1616.66,RUB,2025-01-25 08:28:24,Payments
335,284,3584.52,RUB,2025-04-30 18:51:57,Deposits
336,423,7758.28,USD,2025-04-20 19:25:17,Transfers
337,485,6953.68,USD,2025-04-08 07:41:15,ATM
338,226,6661.88,RUB,2025-02-22 13:06:47,ATM
339,181,8295.99,RUB,2025-02-16 06:17:36,Deposits
340,481,2778.53,EUR,2025-01-01 12:26:27,Deposits
341,353,3403.44,RUB,2025-02-08 10:50:17,ATM
342,216,432.97,USD,2025-02-13 01:42:24,Fees
343,348,8688.77,EUR,2025-01-18 03:53:11,Refunds
344,306,5828.47,EUR,2025-01-27 15:18:52,Refunds
345,462,2988.24,EUR,2025-04-20 16:46:29,Payments
346,202,703.47,USD,2025-01-11 11:56:11,ATM
347,496,7236.86,USD,2025-03-23 09:28:00,Payments
348,474,7489.89,EUR,2025-04-24 21:59:55,Deposits
349,172,6665.12,EUR,2025-01-14 20:16:49,Fees
350,165,2045.77,RUB,2025-04-10 18:53:18,ATM
351,313,9133.03,EUR,2025-02-28 04:47:06,Fees
352,117,7534.05,EUR,2025-02-18 00:35:03,Refunds
353,219,6580.99,EUR,2025-04-14 05:29:08,Refunds
354,274,6512.93,RUB,2025-02-24 21:49:42,Fees
355,487,9044.53,USD,2025-02-02 10:05:56,Fees
356,496,9283.79,RUB,2025-04-21 05:43:48,Fees
357,160,5960.42,RUB,2025-01-27 09:37:25,Transfers
358,456,4172.53,USD,2025-04-08 23:44:12,Transfers
359,136,3643.7,RUB,2025-04-12 05:50:26,Deposits
360,399,8192.6,RUB,2025-03-27 16:11:59,Fees
361,438,6449.61,RUB,2025-03-26 18:15:05,Deposits
362,456,781.89,USD,2025-04-02 03:29:45,Payments
363,189,1430.44,RUB,2025-04-19 22:05:24,Fees
364,457,9002.86,EUR,2025-04-22 21:47:30,Fees
365,146,8846.14,EUR,2025-02-28 16:25:02,ATM
366,307,9518.81,EUR,2025-04-11 06:42:17,Refunds
367,287,4284.23,EUR,2025-02-04 20:57:44,Fees
368,226,7842.77,USD,2025-04-19 05:27:05,Refunds
369,108,8283.97,USD,2025-05-02 11:56:38,Transfers
370,408,3163.81,EUR,2025-02-26 09:55:36,Payments
371,234,1461.92,USD,2025-04-25 02:02:01,Deposits
372,364,9970.29,USD,2025-04-11 18:21:05,Fees
373,264,311.89,USD,2025-01-19 09:40:23,Refunds
374,249,5977.39,RUB,2025-01-10 21:12:11,Payments
375,454,6505.62,EUR,2025-01-07 02:53:15,Refunds
376,137,6821.08,EUR,2025-02-16 02:23:06,Deposits
377,394,2563.72,EUR,2025-02-01 04:02:24,Fees
378,398,7218.58,RUB,2025-04-07 06:53:36,Fees
379,251,2171.83,EUR,2025-04-28 09:48:55,Payments
380,204,8292.09,RUB,2025-01-11 03:48:30,Deposits
381,102,2198.98,RUB,2025-03-22 05:43:50,Payments
382,474,6970.09,RUB,2025-03-06 07:23:21,Deposits
383,479,7836.3,RUB,2025-03-17 10:09:33,Fees
384,196,1897.57,RUB,2025-02-12 20:42:56,Fees
385,112,2387.49,EUR,2025-02-06 19:34:55,Fees
386,149,7793.25,RUB,2025-04-26 15:18:02,ATM
387,127,869.13,EUR,2025-03-01 15:39:42,Payments
388,432,1915.7,RUB,2025-01-12 15:02:36,ATM
389,456,4560.75,USD,2025-01-03 17:26:11,Deposits
390,161,9302.52,USD,2025-01-03 11:24:19,ATM
391,398,5623.16,EUR,2025-01-01 15:51:28,Transfers
392,171,3882.9,EUR,2025-03-15 19:50:50,Fees
393,246,9783.92,EUR,2025-04-24 06:17:30,ATM
394,339,4642.48,EUR,2025-03-17 04:30:43,Deposits
395,387,4343.01,RUB,2025-03-04 11:44:08,Payments
396,449,4122.33,RUB,2025-02-04 08:05:18,Payments
397,117,3128.68,USD,2025-02-23 20:13:51,Deposits
398,178,3263.69,RUB,2025-03-11 23:41:39,ATM
399,212,6881.49,USD,2025-04-30 16:07:18,Refunds
400,224,417.95,USD,2025-03-24 23:31:29,Fees
401,499,6821.35,RUB,2025-01-13 12:01:38,Deposits
402,410,2020.03,RUB,2025-01-08 20:54:01,Transfers
403,228,3848.24,EUR,2025-04-19 19:26:23,Transfers
404,488,1473.92,USD,2025-03-08 02:15:58,Payments
405,299,5531.98,EUR,2025-03-12 17:07:32,Payments
406,300,7296.21,USD,2025-01-25 04:15:39,Refunds
407,273,3553.01,USD,2025-02-07 08:03:50,Payments
408,157,1642.53,EUR,2025-01-23 03:53:55,Refunds
409,473,2272.79,RUB,2025-02-28 04:52:19,ATM
410,105,8182.95,RUB,2025-01-11 15:34:12,ATM
411,169,2683.81,EUR,2025-01-11 15:07:23,Refunds
412,191,7749.28,EUR,2025-02-12 10:35:05,Fees
413,211,3318.68,RUB,2025-02-28 18:22:13,Payments
414,152,1895.44,USD,2025-04-04 17:40:16,Refunds
415,107,7275.81,USD,2025-04-10 05:50:17,Transfers
416,371,4690.76,EUR,2025-02-22 09:20:06,ATM
417,487,322.46,USD,2025-01-16 06:09:05,ATM
418,148,9599.82,RUB,2025-03-04 05:48:26,Transfers
419,218,1486.06,EUR,2025-01-21 01:29:23,ATM
420,302,3540.54,EUR,2025-02-08 02:20:47,ATM
421,471,3854.1,USD,2025-04-10 16:10:15,Refunds
422,377,4899.4,EUR,2025-03-07 05:57:47,Refunds
423,406,7856.59,RUB,2025-04-18 02:57:38,Deposits
424,332,70.84,RUB,2025-04-05 01:22:46,Fees
425,266,9325.4,EUR,2025-04-18 16:16:37,Fees
426,179,6463.43,USD,2025-03-10 13:02:07,Payments
427,445,9506.98,RUB,2025-02-10 06:57:41,Fees
428,421,8175.72,EUR,2025-04-27 06:05:53,Refunds
429,110,9279.1,RUB,2025-02-26 22:53:33,Payments
430,386,6014.0,RUB,2025-01-29 11:27:20,Fees
431,133,3579.52,USD,2025-04-19 14:12:41,Payments
432,395,4434.71,USD,2025-01-21 03:54:14,Deposits
433,430,6583.74,EUR,2025-02-18 07:56:13,Fees
434,152,4275.05,USD,2025-01-30 09:54:33,Refunds
435,273,7319.41,RUB,2025-02-28 03:14:03,Fees
436,149,927.56,EUR,2025-01-27 23:46:27,Fees
437,326,8301.57,USD,2025-03-05 23:00:25,Transfers
438,471,2049.84,RUB,2025-01-06 22:04:41,Fees
439,132,9440.04,USD,2025-03-06 10:54:19,ATM
440,259,1563.9,USD,2025-01-15 12:39:28,Refunds
441,489,1300.35,USD,2025-05-03 00:44:45,ATM
442,220,8120.64,RUB,2025-01-05 20:06:39,Payments
443,152,8188.83,USD,2025-02-24 01:35:54,ATM
444,295,7390.21,USD,2025-05-03 10:39:35,Fees
445,303,9605.7,EUR,2025-02-19 08:01:04,Fees
446,365,2712.69,EUR,2025-01-27 10:07:03,Deposits
447,225,8268.22,EUR,2025-02-06 13:24:21,Transfers
448,482,3526.88,USD,2025-04-11 01:04:29,Refunds
449,308,5378.61,USD,2025-01-28 06:21:27,Fees
450,214,4461.54,USD,2025-01-28 10:12:53,Refunds
451,484,68.44,RUB,2025-03-25 01:09:34,Fees
452,469,5748.88,RUB,2025-03-02 03:41:52,Fees
453,299,7477.58,EUR,2025-02-13 01:25:51,Deposits
454,109,1753.78,RUB,2025-04-30 01:31:46,Fees
455,338,9317.24,EUR,2025-04-17 05:30:19,Deposits
456,322,5308.69,EUR,2025-04-15 11:55:10,Fees
457,159,1790.68,EUR,2025-03-17 13:07:48,Payments
458,353,6463.02,RUB,2025-01-04 22:57:57,Transfers
459,436,1927.31,USD,2025-02-19 10:44:50,Transfers
460,142,644.7,EUR,2025-03-28 22:21:30,Deposits
461,389,6856.3,USD,2025-01-15 02:15:29,Fees
462,156,1115.84,USD,2025-01-09 06:38:20,Payments
463,399,1071.11,EUR,2025-04-07 04:44:22,Fees
464,267,7402.04,EUR,2025-02-13 23:19:20,Fees
